Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Car_Model,Car_Price,Loan_Status
Male,No,2,Not Graduate,No,28354,46313,2320908,60,0,Semiurban,Truck,2313948,N
Female,Yes,3+,Not Graduate,Yes,32190,44571,1160673,360,1,Semiurban,Coupe,1713575,Y
Male,Yes,1,Not Graduate,Yes,16142,26829,2217534,300,1,Semiurban,Truck,762530,N
Male,Yes,3+,Not Graduate,Yes,38398,35062,611362,240,1,Semiurban,SUV,2014520,Y
Male,Yes,3+,Graduate,No,61971,3630,1839527,300,1,Urban,Convertible,2542361,Y
Female,Yes,2,Graduate,No,51862,47861,2536503,300,1,Rural,Van,3937892,N
Male,No,3+,Not Graduate,No,63410,31870,676298,300,1,Urban,Convertible,717767,Y
Male,Yes,2,Graduate,No,29503,49298,973288,360,1,Urban,Sedan,1609970,Y
Male,No,0,Not Graduate,No,58456,47221,2862854,180,1,Semiurban,Convertible,2188241,N
Female,No,0,Graduate,No,92035,44942,2909409,300,1,Rural,SUV,1146004,N
Male,Yes,2,Not Graduate,No,18016,3453,2388007,120,1,Semiurban,Sedan,687486,N
Male,Yes,0,Not Graduate,Yes,12384,37275,2259814,120,1,Urban,Hatchback,3569472,N
Male,No,1,Graduate,No,72320,43370,2239122,60,1,Urban,Convertible,2128782,Y
Male,Yes,3+,Graduate,Yes,25072,38396,1275292,180,0,Semiurban,Convertible,3888284,N
Female,Yes,1,Not Graduate,Yes,90018,8328,2833647,60,1,Urban,Van,1926360,N
Male,No,3+,Not Graduate,No,50510,15534,2878525,120,1,Urban,Sedan,2233391,N
Female,No,0,Graduate,No,58933,19744,2410217,120,1,Semiurban,Coupe,866590,Y
Female,Yes,1,Graduate,Yes,31826,19389,2100741,240,1,Urban,Convertible,3815535,Y
Female,No,0,Not Graduate,Yes,78026,36320,689073,300,1,Rural,SUV,594702,Y
Male,Yes,3+,Graduate,No,35518,49170,859281,120,1,Semiurban,Convertible,2702661,Y
Female,Yes,2,Not Graduate,No,34045,35010,719707,360,1,Rural,Van,855752,Y
Male,Yes,2,Not Graduate,Yes,60876,14665,2838401,360,1,Urban,Hatchback,1662886,N
Female,No,1,Not Graduate,No,61919,37865,1585610,60,0,Urban,Van,3429386,N
Female,No,0,Not Graduate,No,37103,8640,671389,60,1,Semiurban,Convertible,1058910,Y
